candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason
1811,16,64,8,22,10,256,65536,8,56,8,8,16,2,18,220,28,36,32,64,7216,1,
1812,16,64,8,22,10,256,1048576,8,56,8,8,16,2,18,220,28,36,32,64,7216,1,
2671,16,66,11,17,10,256,65536,6,60,6,8,16,2,18,170,22,31,32,64,7232,1,
2672,16,66,11,17,10,256,1048576,6,60,6,8,16,2,18,170,22,31,32,64,7232,1,
13,16,60,6,14,12,16,65536,10,50,10,4,32,3,35,168,21,30,32,64,7248,1,
14,16,60,6,14,12,16,1048576,10,50,10,4,32,3,35,168,21,30,32,64,7248,1,
55,16,60,6,22,12,256,65536,10,50,10,8,16,2,18,264,33,42,32,64,7280,1,
56,16,60,6,22,12,256,1048576,10,50,10,8,16,2,18,264,33,42,32,64,7280,1,
29,16,60,6,17,10,16,65536,10,50,10,4,32,3,35,170,22,31,32,64,7328,1,
30,16,60,6,17,10,16,1048576,10,50,10,4,32,3,35,170,22,31,32,64,7328,1,
2413,16,66,6,14,12,16,65536,11,55,11,4,32,3,35,168,21,30,32,64,7344,1,
2414,16,66,6,14,12,16,1048576,11,55,11,4,32,3,35,168,21,30,32,64,7344,1,
2455,16,66,6,22,12,256,65536,11,55,11,8,16,2,18,264,33,42,32,64,7376,1,
2456,16,66,6,22,12,256,1048576,11,55,11,8,16,2,18,264,33,42,32,64,7376,1,
1305,16,63,7,17,8,16,65536,9,54,9,4,32,3,35,136,17,26,32,64,7392,1,
1306,16,63,7,17,8,16,1048576,9,54,9,4,32,3,35,136,17,26,32,64,7392,1,
1289,16,63,7,14,10,16,65536,9,54,9,4,32,3,35,140,18,27,32,64,7408,1,
1290,16,63,7,14,10,16,1048576,9,54,9,4,32,3,35,140,18,27,32,64,7408,1,
1321,16,63,7,22,6,16,65536,9,54,9,4,32,3,35,132,17,26,32,64,7408,1,
1322,16,63,7,22,6,16,1048576,9,54,9,4,32,3,35,132,17,26,32,64,7408,1,
2687,16,66,11,22,8,256,65536,6,60,6,8,16,2,18,176,22,31,32,64,7408,1,
2688,16,66,11,22,8,256,1048576,6,60,6,8,16,2,18,176,22,31,32,64,7408,1,
1781,16,64,8,17,6,16,65536,8,56,8,4,32,3,35,102,13,21,32,64,7424,1,
1782,16,64,8,17,6,16,1048576,8,56,8,4,32,3,35,102,13,21,32,64,7424,1,
1799,16,64,8,17,14,256,65536,8,56,8,8,16,2,18,238,30,38,32,64,7424,1,
1800,16,64,8,17,14,256,1048576,8,56,8,8,16,2,18,238,30,38,32,64,7424,1,
2429,16,66,6,17,10,16,65536,11,55,11,4,32,3,35,170,22,31,32,64,7424,1,
2430,16,66,6,17,10,16,1048576,11,55,11,4,32,3,35,170,22,31,32,64,7424,1,
67,16,60,6,33,8,256,65536,10,50,10,8,16,2,18,264,33,42,32,64,7456,1,
68,16,60,6,33,8,256,1048576,10,50,10,8,16,2,18,264,33,42,32,64,7456,1,
45,16,60,6,22,8,16,65536,10,50,10,4,32,3,35,176,22,31,32,64,7504,1,
46,16,60,6,22,8,16,1048576,10,50,10,4,32,3,35,176,22,31,32,64,7504,1,
1765,16,64,8,14,8,16,65536,8,56,8,4,32,3,35,112,14,22,32,64,7536,1,
1766,16,64,8,14,8,16,1048576,8,56,8,4,32,3,35,112,14,22,32,64,7536,1,
2467,16,66,6,33,8,256,65536,11,55,11,8,16,2,18,264,33,42,32,64,7552,1,
2468,16,66,6,33,8,256,1048576,11,55,11,8,16,2,18,264,33,42,32,64,7552,1,
3603,24,60,6,14,6,256,65536,10,50,10,8,24,2,26,84,11,20,48,96,7560,1,
3604,24,60,6,14,6,256,1048576,10,50,10,8,24,2,26,84,11,20,48,96,7560,1,
2445,16,66,6,22,8,16,65536,11,55,11,4,32,3,35,176,22,31,32,64,7600,1,
2446,16,66,6,22,8,16,1048576,11,55,11,4,32,3,35,176,22,31,32,64,7600,1,
2659,16,66,11,14,14,256,65536,6,60,6,8,16,2,18,196,25,34,32,64,7600,1,
2660,16,66,11,14,14,256,1048576,6,60,6,8,16,2,18,196,25,34,32,64,7600,1,
1335,16,63,7,22,12,256,65536,9,54,9,8,16,2,18,264,33,42,32,64,7616,1,
1336,16,63,7,22,12,256,1048576,9,54,9,8,16,2,18,264,33,42,32,64,7616,1,
17,16,60,6,14,14,16,65536,10,50,10,4,32,3,35,196,25,34,32,64,7696,1,
18,16,60,6,14,14,16,1048576,10,50,10,4,32,3,35,196,25,34,32,64,7696,1,
6003,24,66,6,14,6,256,65536,11,55,11,8,24,2,26,84,11,20,48,96,7704,1,
6004,24,66,6,14,6,256,1048576,11,55,11,8,24,2,26,84,11,20,48,96,7704,1,
2675,16,66,11,17,12,256,65536,6,60,6,8,16,2,18,204,26,35,32,64,7776,1,
2676,16,66,11,17,12,256,1048576,6,60,6,8,16,2,18,204,26,35,32,64,7776,1,
1347,16,63,7,33,8,256,65536,9,54,9,8,16,2,18,264,33,42,32,64,7792,1,
1348,16,63,7,33,8,256,1048576,9,54,9,8,16,2,18,264,33,42,32,64,7792,1,
2417,16,66,6,14,14,16,65536,11,55,11,4,32,3,35,196,25,34,32,64,7792,1,
2418,16,66,6,14,14,16,1048576,11,55,11,4,32,3,35,196,25,34,32,64,7792,1,
1293,16,63,7,14,12,16,65536,9,54,9,4,32,3,35,168,21,30,32,64,7856,1,
1294,16,63,7,14,12,16,1048576,9,54,9,4,32,3,35,168,21,30,32,64,7856,1,
33,16,60,6,17,12,16,65536,10,50,10,4,32,3,35,204,26,35,32,64,7872,1,
34,16,60,6,17,12,16,1048576,10,50,10,4,32,3,35,204,26,35,32,64,7872,1,
1815,16,64,8,22,12,256,65536,8,56,8,8,16,2,18,264,33,41,32,64,7920,1,
1816,16,64,8,22,12,256,1048576,8,56,8,8,16,2,18,264,33,41,32,64,7920,1,
1309,16,63,7,17,10,16,65536,9,54,9,4,32,3,35,170,22,31,32,64,7936,1,
1310,16,63,7,17,10,16,1048576,9,54,9,4,32,3,35,170,22,31,32,64,7936,1,
2703,16,66,11,33,6,256,65536,6,60,6,8,16,2,18,198,25,34,32,64,7936,1,
2704,16,66,11,33,6,256,1048576,6,60,6,8,16,2,18,198,25,34,32,64,7936,1,
1785,16,64,8,17,8,16,65536,8,56,8,4,32,3,35,136,17,25,32,64,7968,1,
1786,16,64,8,17,8,16,1048576,8,56,8,4,32,3,35,136,17,25,32,64,7968,1,
2433,16,66,6,17,12,16,65536,11,55,11,4,32,3,35,204,26,35,32,64,7968,1,
2434,16,66,6,17,12,16,1048576,11,55,11,4,32,3,35,204,26,35,32,64,7968,1,
59,16,60,6,22,14,256,65536,10,50,10,8,16,2,18,308,39,48,32,64,7984,1,
60,16,60,6,22,14,256,1048576,10,50,10,8,16,2,18,308,39,48,32,64,7984,1,
1769,16,64,8,14,10,16,65536,8,56,8,4,32,3,35,140,18,26,32,64,7984,1,
1770,16,64,8,14,10,16,1048576,8,56,8,4,32,3,35,140,18,26,32,64,7984,1,
1801,16,64,8,22,6,16,65536,8,56,8,4,32,3,35,132,17,25,32,64,7984,1,
1802,16,64,8,22,6,16,1048576,8,56,8,4,32,3,35,132,17,25,32,64,7984,1,
61,16,60,6,33,6,16,65536,10,50,10,4,32,3,35,198,25,34,32,64,8032,1,
62,16,60,6,33,6,16,1048576,10,50,10,4,32,3,35,198,25,34,32,64,8032,1,
3623,24,60,6,17,6,256,65536,10,50,10,8,24,2,26,102,13,22,48,96,8064,1,
3624,24,60,6,17,6,256,1048576,10,50,10,8,24,2,26,102,13,22,48,96,8064,1,
2459,16,66,6,22,14,256,65536,11,55,11,8,16,2,18,308,39,48,32,64,8080,1,
2460,16,66,6,22,14,256,1048576,11,55,11,8,16,2,18,308,39,48,32,64,8080,1,
1827,16,64,8,33,8,256,65536,8,56,8,8,16,2,18,264,33,41,32,64,8096,1,
1828,16,64,8,33,8,256,1048576,8,56,8,8,16,2,18,264,33,41,32,64,8096,1,
1325,16,63,7,22,8,16,65536,9,54,9,4,32,3,35,176,22,31,32,64,8112,1,
1326,16,63,7,22,8,16,1048576,9,54,9,4,32,3,35,176,22,31,32,64,8112,1,
2691,16,66,11,22,10,256,65536,6,60,6,8,16,2,18,220,28,37,32,64,8112,1,
2692,16,66,11,22,10,256,1048576,6,60,6,8,16,2,18,220,28,37,32,64,8112,1,
2461,16,66,6,33,6,16,65536,11,55,11,4,32,3,35,198,25,34,32,64,8128,1,
2462,16,66,6,33,6,16,1048576,11,55,11,4,32,3,35,198,25,34,32,64,8128,1,
49,16,60,6,22,10,16,65536,10,50,10,4,32,3,35,220,28,37,32,64,8208,1,
50,16,60,6,22,10,16,1048576,10,50,10,4,32,3,35,220,28,37,32,64,8208,1,
6023,24,66,6,17,6,256,65536,11,55,11,8,24,2,26,102,13,22,48,96,8208,1,
6024,24,66,6,17,6,256,1048576,11,55,11,8,24,2,26,102,13,22,48,96,8208,1,
3607,24,60,6,14,8,256,65536,10,50,10,8,24,2,26,112,14,23,48,96,8232,1,
3608,24,60,6,14,8,256,1048576,10,50,10,8,24,2,26,112,14,23,48,96,8232,1,
4883,24,63,7,14,6,256,65536,9,54,9,8,24,2,26,84,11,20,48,96,8256,1,
4884,24,63,7,14,6,256,1048576,9,54,9,8,24,2,26,84,11,20,48,96,8256,1,
1297,16,63,7,14,14,16,65536,9,54,9,4,32,3,35,196,25,34,32,64,8304,1,
1298,16,63,7,14,14,16,1048576,9,54,9,4,32,3,35,196,25,34,32,64,8304,1,
2449,16,66,6,22,10,16,65536,11,55,11,4,32,3,35,220,28,37,32,64,8304,1,
2450,16,66,6,22,10,16,1048576,11,55,11,4,32,3,35,220,28,37,32,64,8304,1,
1339,16,63,7,22,14,256,65536,9,54,9,8,16,2,18,308,39,48,32,64,8320,1,
1340,16,63,7,22,14,256,1048576,9,54,9,8,16,2,18,308,39,48,32,64,8320,1,
2679,16,66,11,17,14,256,65536,6,60,6,8,16,2,18,238,30,39,32,64,8320,1,
2680,16,66,11,17,14,256,1048576,6,60,6,8,16,2,18,238,30,39,32,64,8320,1,
6007,24,66,6,14,8,256,65536,11,55,11,8,24,2,26,112,14,23,48,96,8376,1,
6008,24,66,6,14,8,256,1048576,11,55,11,8,24,2,26,112,14,23,48,96,8376,1,
37,16,60,6,17,14,16,65536,10,50,10,4,32,3,35,238,30,39,32,64,8416,1,
38,16,60,6,17,14,16,1048576,10,50,10,4,32,3,35,238,30,39,32,64,8416,1,
1773,16,64,8,14,12,16,65536,8,56,8,4,32,3,35,168,21,29,32,64,8432,1,
